상품명,채널구분,통합판매수량,국내판매수량,해외판매수량,통합매출_KRW,국내매출_KRW,해외매출_KRW환산,평균단가_KRW,총주문건수,국내주문건수,해외주문건수,최초판매일,시즌
Stripe My Little Star L/S Blue,공통,93.0,81.0,12.0,3813401.712121212,2980980.0,832421.7121212122,41004.319485174325,93.0,81.0,12.0,2025-04-13,25 SS 01
Leopard Bao Bag Charcoal,공통,92.0,69.0,23.0,8215387.416666667,5067000.0,3148387.416666667,89297.68931159421,92.0,69.0,23.0,2025-09-07,25 FW 가방 1차
Fleece & Wool Check Crop Jacket Navy,공통,91.0,83.0,8.0,11173595.115384616,10188000.0,985595.1153846156,122786.75950972106,91.0,83.0,8.0,2025-01-01,24 홀리데이컬렉션
Buttons Baby Tee Green,공통,86.0,77.0,9.0,3523039.4583333335,2873895.0,649144.4583333334,40965.57509689923,85.0,76.0,9.0,2025-05-20,25 SS 02
Moldy Pigment Long Skirt Rose Gray,공통,81.0,53.0,28.0,9286158.779166667,5898550.0,3387608.779166667,114643.9355452675,81.0,53.0,28.0,2025-09-13,25 FW 01
Star Bao Bag Charcoal,공통,81.0,70.0,11.0,5215359.166666667,4192650.0,1022709.1666666666,64387.15020576132,81.0,70.0,11.0,2025-07-01,25 SS 03
Mossy Slip Dress Dusty Pink,공통,79.0,62.0,17.0,6652791.6625,4834500.0,1818291.6625,84212.55268987341,79.0,62.0,17.0,2025-09-10,25 FW 01
Vine Knit Charcoal,공통,78.0,53.0,25.0,8159715.486111112,4752000.0,3407715.4861111115,104611.73700142451,78.0,53.0,25.0,2025-09-10,25 FW 01
Endot Blazer Jacket Charcoal,공통,77.0,68.0,9.0,8231588.633333333,7244650.0,986938.6333333332,106903.74848484847,77.0,68.0,9.0,2025-04-11,25 SS 01
[Setup] Sheer Dot Layerd Tee Navy,공통,76.0,63.0,13.0,4069582.8916666666,3336728.0,732854.8916666667,53547.14331140351,76.0,63.0,13.0,2025-05-17,25 SS 02
Charm Holder Backpack Patchwork,공통,76.0,42.0,34.0,12026322.916666668,5266000.0,6760322.916666667,158241.09100877194,75.0,41.0,34.0,2026-01-22,25 FW 02
Blooming Tie Shirt Ivory,공통,74.0,60.0,14.0,5173729.092857143,3988450.0,1185279.092857143,69915.258011583,73.0,59.0,14.0,2025-04-10,25 SS 01
Balloon Mini Skirt Navy,공통,73.0,69.0,4.0,4060493.9583333335,3598965.0,461528.9583333334,55623.2049086758,72.0,68.0,4.0,2025-01-03,24 08 FW
Ribbon Logo Tee White,공통,73.0,72.0,1.0,2769798.0,2715075.0,54723.0,37942.438356164384,73.0,72.0,1.0,2025-01-26,캐리오버
Double Velvet Ties Shirt Navy,공통,72.0,46.0,26.0,6107397.282051282,3559780.0,2547617.282051282,84824.96225071225,72.0,46.0,26.0,2025-01-05,24 08 FW
Knit Hockey Jersey Navy,공통,72.0,63.0,9.0,5053855.742657343,4260475.0,793380.7426573426,70192.44087024087,72.0,63.0,9.0,2025-04-18,25 SS 01
Stripe Lace Tie Shirt Ivory,공통,71.0,55.0,16.0,6288726.583333333,4391810.0,1896916.5833333333,88573.61384976526,71.0,55.0,16.0,2025-01-03,24 08 FW
Moldy Pigment Long Skirt Brown,공통,70.0,48.0,22.0,8173097.541666667,5426400.0,2746697.541666667,116758.53630952381,69.0,48.0,21.0,2025-09-13,25 FW 01
Dot Buttons Knit Double Jacket Navy,공통,70.0,69.0,1.0,5267825.0,5177925.0,89900.0,75254.64285714286,70.0,69.0,1.0,2025-04-09,25 SS 01
